code,name,trades,win_rate,final_pnl,max_dd,avg_pnl
2695,くら寿司,5,60.0,19385,-0.71,3877
4246,ダイキョーニシカワ,12,66.7,19342,-0.35,1611
5011,ニチレキグループ,6,66.7,19310,-0.53,3218
8101,ＧＳＩクレオス,10,60.0,19307,-0.8,1930
8334,群馬銀行,13,53.8,19209,-2.16,1477
8032,日本紙パルプ商事,11,63.6,19061,-0.28,1732
4044,セントラル硝子,6,66.7,19055,-1.07,3175
8524,北洋銀行,18,61.1,18997,-0.7,1055
4216,旭有機材,6,66.7,18987,-0.84,3164
8793,ＮＥＣキャピタルソリューション,13,53.8,18937,-1.49,1456
1332,ニッスイ,10,60.0,18756,-0.39,1875
9273,コーア商事ホールディングス,10,80.0,18749,-0.33,1874
9601,松竹,15,53.3,18612,-1.62,1240
2749,ＪＰホールディングス,11,81.8,18336,-0.54,1666
5201,ＡＧＣ,7,71.4,18152,-0.6,2593
7180,九州フィナンシャルグループ,9,66.7,18101,-0.86,2011
9532,大阪瓦斯,10,70.0,18082,-0.94,1808
7327,第四北越フィナンシャルグループ,21,52.4,18080,-2.64,860
6331,三菱化工機,11,45.5,18039,-2.91,1639
9435,光通信,15,53.3,17770,-2.09,1184
4686,ジャストシステム,12,50.0,17762,-2.19,1480
6349,小森コーポレーション,14,64.3,17713,-1.08,1265
4521,科研製薬,8,62.5,17696,-0.85,2212
4503,アステラス製薬,6,50.0,17653,-1.27,2942
8137,サンワテクノス,13,53.8,17533,-1.5,1348
8174,日本瓦斯,8,62.5,17508,-0.7,2188
9746,ＴＫＣ,9,66.7,17382,-1.25,1931
3076,あい　ホールディングス,5,80.0,17310,-0.92,3462
7226,極東開発工業,11,54.5,17075,-2.45,1552
6856,堀場製作所,13,53.8,16905,-1.96,1300
7989,立川ブラインド工業,12,50.0,16855,-1.06,1404
4613,関西ペイント,7,71.4,16825,-0.85,2403
3880,大王製紙,7,57.1,16665,-0.35,2380
6328,荏原実業,9,55.6,16410,-3.54,1823
4718,早稲田アカデミー,19,57.9,16370,-1.93,861
6925,ウシオ電機,9,55.6,16369,-1.06,1818
6741,日本信号,10,50.0,16338,-0.61,1633
5602,栗本鐵工所,8,62.5,16204,-1.05,2025
4554,富士製薬工業,8,62.5,16161,-0.77,2020
8308,りそなホールディングス,14,50.0,16146,-2.05,1153
4553,東和薬品,9,55.6,16101,-1.62,1789
8850,スターツコーポレーション,17,47.1,16085,-2.38,946
7172,ジャパンインベストメントアドバイザー,9,55.6,15997,-1.35,1777
4205,日本ゼオン,7,71.4,15990,-0.63,2284
6798,ＳＭＫ,8,50.0,15975,-2.18,1996
7246,プレス工業,8,62.5,15965,-0.38,1995
7936,アシックス,14,50.0,15957,-4.29,1139
6070,キャリアリンク,6,83.3,15912,-0.78,2652
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,8,50.0,15795,-2.78,1974
3099,三越伊勢丹ホールディングス,8,50.0,15794,-3.71,1974
4028,石原産業,7,57.1,15730,-1.5,2247
6644,大崎電気工業,17,64.7,15697,-1.65,923
3915,テラスカイ,10,50.0,15627,-4.72,1562
5726,大阪チタニウムテクノロジーズ,6,50.0,15394,-1.94,2565
9412,スカパーＪＳＡＴ,12,50.0,15343,-1.76,1278
1835,東鉄工業,13,53.8,15263,-2.73,1174
7613,シークス,5,80.0,15208,-0.51,3041
4116,大日精化工業,10,60.0,15192,-1.3,1519
8370,紀陽銀行,20,45.0,15192,-1.96,759
4042,東ソー,13,53.8,15080,-1.19,1160
7510,たけびし,13,53.8,15004,-2.62,1154
6301,小松製作所,14,57.1,14989,-1.77,1070
8282,ケーズホールディングス,10,60.0,14946,-0.93,1494
9869,加藤産業,10,60.0,14850,-1.06,1485
7181,かんぽ生命保険,8,62.5,14849,-0.83,1856
6908,イリソ電子工業,15,53.3,14807,-2.65,987
9519,レノバ,5,60.0,14765,-1.32,2953
7202,いすゞ自動車,6,66.7,14752,-1.06,2458
6845,アズビル,7,71.4,14709,-0.27,2101
3465,ケイアイスター不動産,11,45.5,14685,-3.39,1335
4923,コタ,5,80.0,14569,-0.43,2913
5384,フジミインコーポレーテッド,8,62.5,14532,-2.14,1816
4681,リゾートトラスト,12,58.3,14451,-1.74,1204
3002,グンゼ,9,55.6,14376,-1.07,1597
6340,澁谷工業,10,50.0,14350,-1.68,1435
8016,オンワードホールディングス,11,72.7,14346,-0.3,1304
3836,アバントグループ,10,50.0,14259,-1.89,1425
8714,池田泉州ホールディングス,14,57.1,14253,-1.0,1018
2211,不二家,9,55.6,14230,-0.82,1581
7943,ニチハ,6,50.0,14180,-0.9,2363
6367,ダイキン工業,7,57.1,13931,-1.95,1990
6480,日本トムソン,9,55.6,13832,-0.62,1536
4751,サイバーエージェント,12,58.3,13779,-1.84,1148
1852,淺沼組,13,53.8,13731,-0.61,1056
3964,オークネット,12,66.7,13726,-0.88,1143
3608,ＴＳＩホールディングス,7,85.7,13687,-0.49,1955
9658,ビジネスブレイン太田昭和,16,56.2,13663,-1.13,853
6058,ベクトル,7,57.1,13595,-0.56,1942
3837,アドソル日進,16,56.2,13577,-1.28,848
8616,東海東京フィナンシャル・ホールディングス,10,70.0,13564,-0.44,1356
6258,平田機工,9,66.7,13544,-1.26,1504
4997,日本農薬,11,54.5,13530,-1.1,1230
1929,日特建設,10,60.0,13528,-0.6,1352
5302,日本カーボン,8,62.5,13495,-0.73,1686
8367,南都銀行,19,52.6,13480,-1.43,709
5186,ニッタ,12,75.0,13356,-0.69,1113
3156,レスター,7,57.1,13346,-0.82,1906
6240,ヤマシンフィルタ,10,60.0,13318,-0.65,1331
8103,明和産業,14,64.3,13270,-0.53,947
7278,エクセディ,11,54.5,13146,-2.39,1195
4064,日本カーバイド工業,14,64.3,13126,-2.71,937
2815,アリアケジャパン,5,60.0,13117,-1.71,2623
6996,ニチコン,12,50.0,13087,-1.74,1090
4538,扶桑薬品工業,10,50.0,12905,-2.04,1290
2288,丸大食品,17,47.1,12897,-1.44,758
7245,大同メタル工業,9,55.6,12802,-1.61,1422
4694,ビー・エム・エル,10,50.0,12734,-1.39,1273
8141,新光商事,15,46.7,12721,-1.1,848
5929,三和ホールディングス,6,50.0,12674,-1.12,2112
5714,ＤＯＷＡホールディングス,10,60.0,12626,-3.06,1262
4151,協和キリン,13,46.2,12612,-1.94,970
7381,ＣＣＩグループ,11,63.6,12555,-0.66,1141
3861,王子ホールディングス,8,75.0,12548,-0.16,1568
8541,愛媛銀行,10,50.0,12482,-1.38,1248
4061,デンカ,6,66.7,12200,-1.07,2033
8892,エスコン,15,60.0,12167,-0.78,811
7596,魚力,11,54.5,12099,-1.47,1099
3656,ＫＬａｂ,5,80.0,11853,-0.36,2370
